Year,Month,Monthly_MSL,Date
2028,4,6.14761,2028-04-01
2028,5,6.1478724,2028-05-01
2028,6,6.1481338,2028-06-01
2028,7,6.148396,2028-07-01
2028,8,6.148658,2028-08-01
2028,9,6.148919,2028-09-01
2028,10,6.1491814,2028-10-01
2028,11,6.149443,2028-11-01
2028,12,6.1497045,2028-12-01
2029,1,6.1499667,2029-01-01
2029,2,6.1502285,2029-02-01
2029,3,6.1504903,2029-03-01
2029,4,6.150752,2029-04-01
2029,5,6.151014,2029-05-01
2029,6,6.1512756,2029-06-01
2029,7,6.1515374,2029-07-01
2029,8,6.151799,2029-08-01
2029,9,6.152061,2029-09-01
2029,10,6.152323,2029-10-01
2029,11,6.1525846,2029-11-01
2029,12,6.1528463,2029-12-01
2030,1,6.153108,2030-01-01
2030,2,6.1533704,2030-02-01
2030,3,6.1536317,2030-03-01
2030,4,6.1538935,2030-04-01
2030,5,6.1541557,2030-05-01
2030,6,6.154417,2030-06-01
2030,7,6.154679,2030-07-01
2030,8,6.154941,2030-08-01
2030,9,6.1552024,2030-09-01
2030,10,6.1554646,2030-10-01
2030,11,6.1557264,2030-11-01
2030,12,6.1559877,2030-12-01
